sample	spearman_cor	similarity_score	MT	WT	t_statistic	df	p_value	mean_MT	mean_WT	padj	signif	delta_PSI
Two_14	0.713116685148951	5.65725711858201	0.29749983101072	0.0980185805447781	20.6800709228534	2.00103974788599	0.00232435007159939	0.29749983101072	0.0980185805447781	0.0086378790941974	TRUE	0.199481250465942
Two_140	0.302254840872719	4.65243162773387	0.314363904154597	0.123211758581702	10.9435053485766	3.99073207364076	0.000400975734782105	0.314363904154597	0.123211758581702	0.00332809859869147	TRUE	0.191152145572895
Two_141	0.709709966431702	6.08603038132703	0.337405307963079	0.135329772043608	14.9807517178301	3.99422843925651	0.000116770771915084	0.337405307963079	0.135329772043608	0.00200523601426593	TRUE	0.202075535919471
Two_142	0.525462542494976	4.50673877365269	0.302883911268614	0.124466451354145	10.8133465921672	3.07673770400107	0.00150959403856032	0.302883911268614	0.124466451354145	0.00648084337243999	TRUE	0.178417459914469
Two_143	0.5439880782972	7.341025678888	0.245712338727326	0.130688832632972	6.10793759232156	3.99875857382144	0.00364026287095251	0.245712338727326	0.130688832632972	0.0111217847222966	TRUE	0.115023506094354
Two_144	0.626171425836684	6.01694971571198	0.346652850552175	0.203625038417046	8.72759649678297	3.13488941090342	0.00266558861708032	0.346652850552175	0.203625038417046	0.00890914853225503	TRUE	0.143027812135129
Two_145	0.577098645950411	6.48079108986167	0.0670912547107053	0.0669904731496191	0.00133191118090573	3.99892509187727	0.999001083293964	0.0670912547107053	0.0669904731496191	0.999759161068053	FALSE	0.0001007815610862
Two_146	0.704402772572423	5.77194959136369	0.0189468110334706	0.00522630220300886	7.13962130088916	2.03536456117699	0.0181779683053068	0.0189468110334706	0.00522630220300886	0.035500502808011	TRUE	0.0137205088304617
Two_147	0.773381845351891	5.95609604034901	0.252596626234748	0.265922308900056	-0.260148473529779	3.98349007949723	0.807642187222124	0.252596626234748	0.265922308900056	0.850329406419911	FALSE	-0.013325682665308
Two_148	0.706040292732535	7.58193585750015	0.162457862435042	0.0800970157427319	8.4212989448238	3.79976274017957	0.00135944387489415	0.162457862435042	0.0800970157427319	0.00615457317906624	TRUE	0.0823608466923101
Two_149	0.731824778564428	6.88613494863495	0.107101640936841	0.0834650141218074	2.35459329177827	3.86200579053943	0.0804495915904878	0.107101640936841	0.0834650141218074	0.123273528037117	FALSE	0.0236366268150336
Two_15	0.707491154827765	5.3130787037037	0.345806412869308	0.179380869727471	15.8906309093294	3.86671053511726	0.000115071653860655	0.345806412869308	0.179380869727471	0.00200523601426593	TRUE	0.166425543141837
Two_150	0.611644812841754	7.14614531891437	0.233217552254179	0.116315518821453	8.98096204438351	2.67233565264554	0.00453537769271094	0.233217552254179	0.116315518821453	0.0125478782831669	TRUE	0.116902033432726
Two_151	0.63187471813686	6.34440906104783	0.345305708076488	0.213728860611701	5.98961096027438	3.60277586711944	0.00542159118313565	0.345305708076488	0.213728860611701	0.0142854624825479	TRUE	0.131576847464787
Two_152	0.507246370812775	5.89750525704358	0.309509346076315	0.203443750330232	3.03089595119465	3.47873524650237	0.0464529213765167	0.309509346076315	0.203443750330232	0.0781539015050855	FALSE	0.106065595746083
Two_153	0.569148689912883	6.90587123834547	0.492164071277285	0.496102395981982	-1.17115270626375	2.40657896717681	0.344381553130905	0.492164071277285	0.496102395981982	0.424509934304928	FALSE	-0.00393832470469702
Two_154	0.620014835933194	7.29632576905865	0.00582543733872794	0.00499810281107123	0.622339155446912	3.65864153477521	0.570388382246568	0.00582543733872794	0.00499810281107123	0.635466251361948	FALSE	0.00082733452765671
Two_155	0.735730851142885	6.88613494863495	0.166826439316627	0.0795154575555759	6.46345016841464	3.92029649138819	0.00316240759677366	0.166826439316627	0.0795154575555759	0.00984299364495803	TRUE	0.0873109817610511
Two_156	0.704110233685829	5.36419310271534	0.416089493221105	0.408978358827109	0.252696273195311	3.36215492626439	0.815179231435398	0.416089493221105	0.408978358827109	0.854651067904902	FALSE	0.00711113439399602
Two_157	0.759820332195631	5.36570183629007	0.234468811916118	0.121879572840171	9.94297138993717	3.48390300838181	0.00111608682081727	0.234468811916118	0.121879572840171	0.00547134401352135	TRUE	0.112589239075947
Two_158	0.653066491097293	6.99685054493468	0.27805888658535	0.187569450267632	2.88485087145845	3.23438098017741	0.0578105742150721	0.27805888658535	0.187569450267632	0.0943923474069046	FALSE	0.090489436317718
Two_159	0.667476051247345	5.42997790903801	0.267075775520874	0.133476344982727	8.57383315915414	3.85945123322612	0.00118993611968378	0.267075775520874	0.133476344982727	0.00575328337478177	TRUE	0.133599430538147
Two_16	0.750564125703977	8.04794549399739	0.164609320193155	0.0881673893455477	4.42206560658481	2.03826086552456	0.0459044751170529	0.164609320193155	0.0881673893455477	0.0774929783331943	FALSE	0.0764419308476073
Two_160	0.544133663450215	5.6627659857853	0.174564927435181	0.256310953725596	-4.60067459874409	3.89851254393008	0.0106521061437443	0.174564927435181	0.256310953725596	0.0238952651332642	TRUE	-0.081746026290415
Two_161	0.655635627405395	6.93485595741809	0.298926290926743	0.353323031410462	-0.965248630281673	3.9603851020811	0.389589598450191	0.298926290926743	0.353323031410462	0.470911699097561	FALSE	-0.054396740483719
Two_162	0.693135832155642	4.72053085978608	0.342945386133309	0.164110231383808	30.3239841743634	2.05499016471256	0.000933271434574594	0.342945386133309	0.164110231383808	0.00499751800449621	TRUE	0.178835154749501
Two_163	0.64180984863504	6.34868522368522	0.182945377379835	0.0625681524364976	24.2903116321796	3.93570523858695	1.95278477322479e-05	0.182945377379835	0.0625681524364976	0.00146388542082546	TRUE	0.120377224943337
Two_164	0.680641333735807	5.55538085255067	0.352855818516689	0.169256395125832	24.3899540790254	3.98804475503508	1.71969313917378e-05	0.352855818516689	0.169256395125832	0.00146388542082546	TRUE	0.183599423390857
Two_165	0.741078120616475	7.37611741490192	0.0120948950291751	0.0100165562986698	0.829401377545404	3.13736598017352	0.465269095153487	0.0120948950291751	0.0100165562986698	0.54237490707739	FALSE	0.0020783387305053
Two_166	0.619946504890637	6.90182714694673	0.139883511027088	0.065663002368744	4.45175804336376	2.90036339161209	0.0226390966936502	0.139883511027088	0.065663002368744	0.0431964373694935	TRUE	0.074220508658344
Two_167	0.704385331632153	5.51582542337519	0.141138832542296	0.0571043749047519	21.1918533238866	3.70140757711484	5.32721312530499e-05	0.141138832542296	0.0571043749047519	0.00167395493868689	TRUE	0.0840344576375441
Two_168	0.652087472109646	6.01051879084967	0.0264235661758816	0.0233040339901511	0.744558793504675	3.88429199027773	0.499057564808622	0.0264235661758816	0.0233040339901511	0.573973827424235	FALSE	0.0031195321857305
Two_169	0.568230314830309	6.06037803915163	0.106345521914757	0.0755783609319033	2.08466982164458	3.29357370782396	0.120296127412478	0.106345521914757	0.0755783609319033	0.173546412519092	FALSE	0.0307671609828537
Two_17	0.5582790562729	6.56024356129838	0.315778111425725	0.159156330175953	11.5816327344676	3.49409467893322	0.000654543017159419	0.315778111425725	0.159156330175953	0.00427497431458471	TRUE	0.156621781249772
