sample	annot	name	MT	WT	delta_PSI	delta_PSI_pct	p_value	padj	signif
77	One_168	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_8	0.201509046137145	0.239627134240885	-0.0381180881037395	-3.81180881037395	0.318569427649848	0.400625189317233	FALSE
78	One_169	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_11	0.256064690026954	0.21358024691358	0.042484443113374	4.2484443113374	0.467226576578715	0.54237490707739	FALSE
79	One_17	Branch_Point	Rep_One_MAP_mut_BP_5_8	0.0897783247331665	0.0246695295610435	0.065108795172123	6.5108795172123	0.0003501882665099	0.00317079557676237	TRUE
80	One_170	C3SS_2_TGF_C3SS	Rep_One_MAP_Base_Revert_C3SS_2_TGF_C3SS_MAP_Base_MAP3K7_150_Copy_12	0.0669976454468039	0.0390205456954371	0.0279770997513668	2.79770997513668	0.00510022193846596	0.0135824092265029	TRUE
81	One_171	Can_2_TGF_C3SS	Rep_One_MAP_Can_replaced_w_TGF_C3SS	0.488614146168264	0.492884953708851	-0.00427080754058667	-0.427080754058667	0.470896096090006	0.54536338570424	FALSE
82	One_172	Can_2_TGF_Can	Rep_One_MAP_Can_replaces_w_TGF_Can	0.484411989327255	0.456673868420492	0.0277381209067634	2.77381209067634	0.0245144205450146	0.0460686091751595	TRUE
83	One_173	C3SS_2_TGF_C3SS	Rep_One_MAP_C3SS_replaced_w_TGF_C3SS	0.0104786812458999	0.00308230307777303	0.00739637816812684	0.739637816812684	0.029632850686049	0.0536623986969178	TRUE
84	One_174	C3SS_2_TGF_Can	Rep_One_MAP_C3SS_replaced_w_TGF_Can	0.0628273097237322	0.02859233696446	0.0342349727592722	3.42349727592722	0.000114308702168471	0.00200523601426593	TRUE
85	One_175	Can_2_TGF_Can	Rep_One_MAP_SS_replaced_w_TGF_SS	0.322328195205661	0.4112031895057	-0.0888749943000387	-8.88749943000387	0.276356494925968	0.357468920709433	FALSE
86	One_176	Swap_C3SS_2_Can	Rep_One_MAP_Swapped_C3SS_w_Canonical	0.162519276330222	0.0720567351789367	0.0904625411512857	9.04625411512857	0.00258852413175773	0.00882781745531369	TRUE
87	One_177	Swap_TGF_150	Rep_One_MAP_Swapped_TGF_150	0.236294963587025	0.362134257031203	-0.125839293444178	-12.5839293444178	0.0677790882360609	0.107496770514517	FALSE
88	One_178	KHSRP_Double_Mutant	Rep_One_MAP_KHSRP_Double_Mutant	0.222274131736776	0.151763170691706	0.0705109610450696	7.05109610450696	0.00274666757696415	0.00905854604853077	TRUE
89	One_179	Swap_BPs	Rep_One_MAP_Swap_BP1_BP2	0.0165716676611035	0.00914823726335532	0.0074234303977482	0.74234303977482	0.00633309523368167	0.0160912317672116	TRUE
90	One_18	Branch_Point	Rep_One_MAP_mut_BP_6_7	0.353437719419377	0.173899667561794	0.179538051857583	17.9538051857583	0.0010141541223072	0.00515355870315293	TRUE
91	One_180	Swap_C3SS_2_Can	Rep_One_MAP_Swap_C3SS_w_3SS	0.49474109990558	0.494697576747025	4.35231585551588e-05	0.00435231585551588	0.972714678806859	0.978609919284476	FALSE
92	One_181	BP1_AA_2_GGG	Rep_One_MAP_BP1_AAA_2_GGG	0.0918300731944129	0.0529029391856405	0.0389271340087723	3.89271340087723	0.0282052732480319	0.0514513775733329	TRUE
93	One_182	BP1_Duped_2_BP2	Rep_One_MAP_BP1_cloned_2_BP2	0.0164471126561858	0.00662818367723036	0.00981892897895541	0.981892897895541	0.00255174155942012	0.00882477289299459	TRUE
94	One_183	BP2_Duped_2_BP1	Rep_One_MAP_BP2_Cloned_to_BP1	0.0539177473479477	0.0347196379920838	0.0191981093558638	1.91981093558638	0.000713493720027648	0.00429911636997329	TRUE
95	One_184	KHSRP_One_GGG	Rep_One_MAP_KHSRP_One_GGG	0.00757402857115366	0.00208515982763561	0.00548886874351805	0.548886874351805	0.0458530786350729	0.0774929783331943	TRUE
96	One_185	KHSRP_Two_GGG	Rep_One_MAP_KHSRP_Two_GGG	0.247878176314923	0.214516483438668	0.0333616928762553	3.33616928762553	0.443098507482908	0.52289823868836	FALSE
97	One_186	Strengthen_C3SS_Py	Rep_One_MAP_Strengthen_C3SS_Py	0.209241413392637	0.157081219477502	0.0521601939151343	5.21601939151343	0.387170958645614	0.470271066842721	FALSE
98	One_187	Strengthen_C3SS_Py	Rep_One_MAP_Strengthen_C3SS_Py_Copy	0.311619760044441	0.290622871138074	0.0209968889063669	2.09968889063669	0.138845749070005	0.195878705486863	FALSE
99	One_188	Strengthen_C3SS_Py	Rep_One_MAP_Strengthen_C3SS_Py_Copy_2	0.0774579509061475	0.0560475873427818	0.0214103635633657	2.14103635633657	0.0811241316589199	0.123925820755037	FALSE
100	One_189	Strengthen_C3SS_Py	Rep_One_MAP_Strengthen_C3SS_Py_Copy_3	0.16278387558604	0.0898182757048048	0.0729655998812354	7.29655998812354	0.00487500788114258	0.0132664148896667	TRUE
101	One_19	Branch_Point	Rep_One_MAP_mut_BP_6_8	0.15507280115727	0.0546087151797599	0.10046408597751	10.046408597751	0.000125859117574672	0.00208926135173955	TRUE
102	One_190	Strengthen_Can_Py	Rep_One_MAP_Strengthen_Can_PyTract	0.105905783414489	0.0494900921807601	0.0564156912337285	5.64156912337285	0.000974538282394348	0.00515355870315293	TRUE
103	One_191	Strengthen_Can_Py	Rep_One_MAP_Strengthen_Can_PyTract_Copy	0.288719397851957	0.164128273678811	0.124591124173145	12.4591124173145	0.00406258631231827	0.0117626045554331	TRUE
104	One_192	Strengthen_Can_Py	Rep_One_MAP_Strengthen_Can_PyTract_Copy_2	0.321323565049651	0.212903063663645	0.108420501386007	10.8420501386007	0.000596750862149534	0.00404302734414802	TRUE
105	One_193	Weaken_C3SS_Py	Rep_One_MAP_Weaken_C3SS_PyTract	0.254607192744368	0.262041111313972	-0.00743391856960351	-0.743391856960351	0.879188970375056	0.906492975666207	FALSE
106	One_194	Weaken_C3SS_Py	Rep_One_MAP_Weaken_C3SS_PyTract_Copy	0.147225629331009	0.214993442234761	-0.0677678129037519	-6.77678129037519	0.239283772857145	0.317768850354289	FALSE
107	One_195	Weaken_C3SS_Py	Rep_One_MAP_Weaken_C3SS_PyTract_Copy_2	0.131989780453528	0.216894880933115	-0.0849051004795871	-8.49051004795871	0.13452686331743	0.191960968286763	FALSE
108	One_196	Weaken_C3SS_Py	Rep_One_MAP_Weaken_C3SS_PyTract_Copy_3	0.372456837599052	0.257473722484133	0.114983115114919	11.4983115114919	0.00175954277486138	0.00712400245431681	TRUE
109	One_197	Weaken_C3SS_Py	Rep_One_MAP_Weaken_C3SS_PyTract_Copy_4	0.332275850335427	0.297413078088721	0.034862772246706	3.4862772246706	0.311901357444089	0.395233781188693	FALSE
110	One_198	Weaken_C3SS_Py	Rep_One_MAP_Weaken_C3SS_PyTract_Copy_5	0.356733285489972	0.309392792354909	0.0473404931350629	4.73404931350629	0.149771500835859	0.20892495074582	FALSE
111	One_199	Weaken_Can_Py	Rep_One_MAP_Weaken_Canonical_PyTract	0.0711218286918747	0.0972960843516763	-0.0261742556598015	-2.61742556598015	0.401867405452404	0.481349534874507	FALSE
112	One_2	Branch_Point	Rep_One_MAP_mut_BP_2	0.359791617920546	0.19510789899989	0.164683718920656	16.4683718920656	0.000265662048313817	0.00281826089530726	TRUE
113	One_20	Branch_Point	Rep_One_MAP_mut_BP_7_8	0.0319785541224334	0.0195777662179059	0.0124007879045275	1.24007879045275	0.0443157106918582	0.0755795339881691	TRUE
114	One_200	Weaken_Can_Py	Rep_One_MAP_Weaken_Canonical_PyTract_Copy	0.443985134604304	0.460620670879826	-0.0166355362755217	-1.66355362755217	0.456874462309	0.536611986391232	FALSE
115	One_201	Weaken_Can_Py	Rep_One_MAP_Weaken_Canonical_PyTract_Copy_2	0.484788358554022	0.492035728161657	-0.00724736960763489	-0.724736960763489	0.287030915167145	0.36840565915783	FALSE
116	One_202	Weaken_Can_Py	Rep_One_MAP_Weaken_Canonical_PyTract_Copy_3	0.1239234255079	0.170694430579012	-0.0467710050711118	-4.67710050711118	0.435025299787818	0.514590497136184	FALSE
