sample	mean_C3SS_ratio	delta_C3SS_ratio	t_statistic	df	p_value	p_adj
One_23	0.159899088510511	0.128747522462299	5.19410891434057	2.03739754904513	0.0337773563364301	0.0428248624979739
One_230	0.0535355308748729	0.0223839648266615	5.4256820876008	3.60461000978727	0.00750705313945228	0.0154768758571566
One_231	0.0256515419941214	-0.00550002405408994	-1.41282318917865	3.76669286482803	0.234754231543508	0.245627059109734
One_232	0.0444442415713411	0.0132926755231297	2.38901430929163	2.85750930087397	0.101135141491783	0.112953180497564
One_233	0.391125480308831	0.35997391426062	58.2136696300453	2.67875479126683	3.11171638665574e-05	0.000315616947789368
One_234	0.0152387477504656	-0.0159128182977457	-4.02864988045852	3.72747777235959	0.0181094778789002	0.0259660299480114
One_235	0.0806857963833316	0.0495342303351202	1.85899058814454	2.03232254671944	0.202104184677443	0.213714425073807
One_236	0.381274845426806	0.350123279378594	17.0555184061073	2.05475286698045	0.00303529459543809	0.0092548553002008
One_237	0.1873875928231	0.156236026774889	45.4082990524406	3.99409587846371	1.42961501570889e-06	4.73679108538211e-05
One_238	0.136309839251016	0.105158273202804	1.96481683455785	2.00796368744839	0.187871380468246	0.199796637436675
One_239	0.216780757071228	0.185629191023017	40.2585577322002	3.28990321480651	1.51547012146303e-05	0.000183704548870031
One_24	0.235495918766273	0.204344352718061	5.86627991543207	2.01885069876655	0.0272487780356892	0.0363073530395109
One_240	0.140575109204634	0.109423543156422	6.66567473948793	2.086264112774	0.019521232351358	0.0274845679281159
One_241	0.222061939719761	0.19091037367155	8.25501504432014	2.04301973525968	0.013476854535627	0.0209312397006456
One_242	0.182375911499917	0.151224345451705	8.56775048231017	2.07441190018195	0.0119362083260676	0.0193234382347088
One_243	0.199295958406995	0.168144392358784	9.09191105726228	2.06767122482202	0.0106896330493138	0.0180678209431844
One_244	0.146486878259609	0.115335312211398	9.06717587534424	2.14564301387706	0.00953381532298228	0.0168025043103624
One_245	0.320477675284743	0.289326109236532	16.6837993719863	2.07713403015841	0.00302620110115292	0.0092548553002008
One_246	0.00869751595995394	-0.0224540500882574	-6.87638549260835	3.98182072537395	0.00238270904892537	0.00780186278877469
One_247	0.307798481711525	0.276646915663314	19.6786943111328	2.1185072471538	0.00195592050119245	0.00684572175417358
One_248	0.197729837217766	0.166578271169555	22.7405055336522	2.46804061605688	0.000625689060318352	0.0030788857720616
One_249	0.167102287867788	0.135950721819576	7.73128226043544	2.07498089552043	0.0146873207476505	0.02232293092227
One_25	0.033049553661746	0.00189798761353465	0.527851111936529	3.9436298270034	0.625905186761539	0.633553722648646
One_26	0.00870038729567411	-0.0224511787525373	-6.62942254686184	3.99977603766294	0.00268638964737085	0.00845022566293236
One_27	0.1497694743826	0.118617908334388	8.01705523361175	2.10669782628676	0.0130436396922565	0.0206153039738676
One_28	0.00957857381560592	-0.0215729922326054	-3.6316440003336	2.74182079273073	0.0416525036523258	0.050863130995592
One_29	0.21192379263078	0.180772226582569	7.80767791085941	2.04292012149281	0.0150638511417955	0.0227744640005074
One_3	0.194020854496166	0.162869288447955	15.5216445827132	2.21739745360819	0.00263468045119362	0.00834035786142183
One_30	0.130090795218884	0.0989392291706722	21.9810278308593	3.35578491840233	9.58573055265952e-05	0.000756207632487585
One_31	0.0409924443392299	0.00984087829101853	2.84203550394681	3.98979082645327	0.0469107384690449	0.0565889248036779
One_32	0.211279688882213	0.180128122834001	4.82202001364238	2.01638164792926	0.0397718678643195	0.0488064650088069
One_33	0.126908129088887	0.0957565630406758	9.63385899899052	2.2436170852115	0.00719348963105837	0.0153652751561358
One_34	0.104585036004446	0.0734334699562346	7.31813661194115	2.23879307906661	0.013217278402279	0.0206650490564616
One_35	0.165159473360477	0.134007907312266	20.7510512272545	2.61677240184337	0.000562280676221007	0.00282276258668526
One_36	0.216176491848689	0.185024925800478	8.29089120329722	2.0462349699484	0.0132975163843029	0.0207174471567353
One_37	0.190988492968258	0.159836926920047	55.605449749732	3.50068036725596	2.76621986781234e-06	6.69115890579511e-05
One_38	0.115768843314236	0.0846172772660248	2.265151689388	2.01638094790721	0.150719675529678	0.163197557163944
One_39	0.00226052767876867	-0.0288910383694427	-11.7729552014458	2.23155743830761	0.00471691306971875	0.0123384515560538
One_4	0.165758632400221	0.13460706635201	31.2164520722748	3.47709488234891	2.20353797662896e-05	0.000243368527641021
One_40	0.0949513073234159	0.0637997412752045	26.7003723664828	2.01262226716944	0.00135402732800064	0.00547115107330342
One_41	0.114567868262625	0.0834163022144134	16.5357848521037	3.06405022001497	0.000426259389660837	0.00237100915170172
One_42	0.264297483213585	0.233145917165374	5.3997931262307	2.01224947230683	0.0321964599066466	0.0411353228113197
One_43	0.278377651853087	0.247226085804875	7.06584020421788	2.01868307087646	0.0189697107715483	0.0269974559058049
One_44	0.190788608046723	0.159637041998511	14.0600993443415	2.18436971760764	0.00349159524751463	0.0102077814000869
One_45	0.184622254265374	0.153470688217162	2.9603541933822	2.00848887421228	0.0971855563177262	0.109526579342199
One_46	0.428459358228066	0.397307792179855	13.9838064268183	2.02840158353411	0.00479633058099796	0.012454773707681
One_47	0.0527563309770016	0.0216047649287902	3.0856196587484	2.51647285328096	0.0678699808095974	0.0786279264857107
One_48	0.0300192683505197	-0.00113229769769166	-0.193623872546147	2.76802061395096	0.859795929117455	0.863269852063384
One_49	0.0659784850911657	0.0348269190429543	2.96645557413805	2.17196885321616	0.0881744316200494	0.100280760904267
One_5	0.0403742749819158	0.00922270893370443	3.48519718946238	2.87496060265964	0.0426422030949464	0.0519440562210499
One_50	0.250542250581172	0.219390684532961	6.42155615088165	2.01959979544752	0.0228399495130016	0.0310998764601693
One_51	0.278346360719561	0.24719479467135	14.2848385918386	2.07747077230325	0.0041660930921532	0.0113650070513221
One_52	0.0221929884385362	-0.00895857760967515	-0.918580538745733	2.25356751672572	0.445753226371074	0.453974085054147
One_53	0.213898518293427	0.182746952245215	4.63021526441177	2.0146683353601	0.0430127243629457	0.0522199511000006
One_54	0.0460192034384819	0.0148676373902706	1.62856266571635	2.29161674575063	0.229021419007953	0.240134272672895
One_55	0.220664542785115	0.189512976736903	12.5256433774289	2.10192231461061	0.00521856719034535	0.0132327953755186
One_56	0.197812734065237	0.166661168017025	9.2495619039268	2.0713528440493	0.0102635476878979	0.0175847279800168
One_57	0.06660342901283	0.0354518629646187	3.8309300240114	2.28333291462237	0.0499596717122235	0.0595442610095326
One_58	0.206462061063478	0.175310495015266	24.6138145460823	2.49755218288215	0.000479558164708955	0.00253553625383352
One_59	0.256544228816687	0.225392662768476	90.6429776231959	2.34290778402016	3.30445971267689e-05	0.00031583009176931
One_6	0.18191856600179	0.150766999953579	11.1484858665011	2.1283502461365	0.00634976590603461	0.0146103409967556
One_60	0.220533509977479	0.189381943929268	12.1002688916304	2.09509816563616	0.00567752910201315	0.013922747586395
One_61	0.121476769425545	0.0903252033773341	23.2941821257891	3.77711260997118	3.20607001521553e-05	0.00031583009176931
One_62	0.209988303200057	0.178836737151845	11.8993106645119	2.1033281108089	0.00579141228966657	0.0139574876033027
One_63	0.0681599534163792	0.0370083873681678	3.72654802959068	2.2440604059308	0.0543372745706134	0.0638430861976238
One_64	0.140379045651156	0.109227479602945	10.5212965819256	2.2223229156689	0.00613371989362326	0.0143329283839657
One_65	0.290558969947675	0.259407403899464	8.98119138699357	2.02747581947319	0.0116617586852293	0.0191174805231076
One_66	0.029063301992631	-0.00208826405558037	-0.831823994169578	2.42439102067976	0.479432984832163	0.487276469246595
One_67	0.18330169560246	0.152150129554248	20.9305154826762	2.47590573300344	0.000753686202699727	0.00356744802611204
One_68	0.0436886512171102	0.0125370851688989	5.0947690406265	2.25464230772702	0.028248609217139	0.0374388234157816
One_69	0.145817997843	0.114666431794788	43.807534574582	2.78255160938696	4.91356927175595e-05	0.000428428759309246
One_7	0.213809013542089	0.182657447493878	4.62646363030048	2.0146588963428	0.0430788328993969	0.0522199511000006
